date,close,btc_return,regime,exposure,position_held,strategy_return,equity_strategy,equity_buy_hold
2025-08-24,115359.98346714744,-0.012618440409482456,RISK_OFF,0.2,0.4,-0.005247376163792982,10694.3561291968,11015.75770265141
2025-08-25,113399.54847314971,-0.016994064450052804,RISK_OFF,0.2,0.2,-0.003598812890010561,10655.869142508685,10828.555206286386
2025-08-26,110185.35443900425,-0.02834397559269386,RISK_OFF,0.2,0.2,-0.0056687951185387725,10595.463203529842,10521.630901815266
2025-08-27,111842.70999260596,0.01504152309569573,RISK_OFF,0.2,0.2,0.003008304619139146,10627.33758442694,10679.892256029307
2025-08-28,111216.08479629169,-0.005602736167209299,RISK_OFF,0.2,0.2,-0.0011205472334418598,10615.429150697857,10620.055637424552
2025-08-29,112525.59740669793,0.011774489389774878,RISK_OFF,0.2,0.2,0.002354897877954976,10640.42740227842,10745.101369846227
2025-08-30,108480.30666639366,-0.03594996012936935,RISK_OFF,0.2,0.2,-0.007189992025873871,10563.922814104148,10358.815404014224
2025-08-31,108781.95727925687,0.002780694691349561,RISK_OFF,0.2,0.2,0.0005561389382699123,10569.79782292195,10387.620107016835
2025-09-01,108253.36092385623,-0.0048592282086233896,RISK_OFF,0.2,0.2,-0.000971845641724678,10559.525610973833,10337.144290372355
2025-09-02,109162.68557992298,0.008399966969213635,RISK_OFF,0.2,0.2,0.001679993393842727,10577.265544242382,10423.975960967478
2025-09-03,111190.18209845416,0.01857316451826163,RISK_OFF,0.2,0.2,0.0037146329036523264,10616.556202863694,10617.582181424932
2025-09-04,111711.51977725117,0.004688702446187243,RANGE_BOUND,0.4,0.2,0.0009377404892374486,10626.511777471384,10667.364864971574
2025-09-05,110724.736377486,-0.008833318190754058,RANGE_BOUND,0.4,0.4,-0.0037333272763016233,10586.839531200609,10573.13663686241
2025-09-06,110662.18112628513,-0.0005649618436445181,RISK_OFF,0.2,0.4,-0.00022598473745780723,10584.447067048643,10567.163218094944
2025-09-07,110209.1888247784,-0.00409346984576231,RISK_OFF,0.2,0.2,-0.001018693969152462,10573.664754654628,10523.906854106424
2025-09-08,111131.9923868407,0.008373199838440648,RISK_OFF,0.2,0.2,0.0016746399676881296,10591.371836257707,10612.025629276994
2025-09-09,112025.12878118771,0.008036717196953314,RANGE_BOUND,0.4,0.2,0.0016073434393906628,10608.395808292864,10697.311478146312
2025-09-10,111547.43956434788,-0.004264125576439848,RANGE_BOUND,0.4,0.4,-0.0019056502305759393,10588.17991637475,10651.696798673205
2025-09-11,113975.32489468766,0.021765495826905124,RANGE_BOUND,0.4,0.4,0.00870619833076205,10680.3627106885,10883.536260894185
2025-09-12,115503.16663193036,0.013405021996247157,RISK_ON,1.0,0.4,0.005362008798498863,10737.630909514372,11029.430303868423
2025-09-13,116160.14344594491,0.005687954998741418,RISK_ON,1.0,1.0,0.005087954998741418,10792.263492375076,11092.165207098584
2025-09-14,115970.58488443034,-0.0016318726534870764,RISK_ON,1.0,1.0,-0.0016318726534870764,10774.651892712642,11074.064206029158
2025-09-15,115373.55555886829,-0.005148109981138904,RISK_ON,1.0,1.0,-0.005148109981138904,10719.182799760469,11017.053705558326
2025-09-16,115397.25272727509,0.00020539514702488937,RISK_ON,1.0,1.0,0.00020539514702488937,10721.384467887614,11019.316554923962
2025-09-17,116762.8496864193,0.011833877556614025,RISK_ON,1.0,1.0,0.011833877556614025,10848.26001891798,11149.717797792502
2025-09-18,116455.94648225319,-0.002628431945523202,RISK_ON,1.0,1.0,-0.002628431945523202,10819.746105730912,11120.411523349216
2025-09-19,117145.49508952006,0.005921111184923111,RISK_ON,1.0,1.0,0.005921111184923111,10883.811025415584,11186.256716401067
2025-09-20,115655.81046441344,-0.012716533606078717,RISK_ON,1.0,1.0,-0.012716533606078717,10745.406676748677,11044.006306940728
2025-09-21,115715.51536781774,0.0005162291731350965,RISK_ON,1.0,1.0,0.0005162291731350965,10750.953769152416,11049.70754518466
2025-09-22,115304.47999407038,-0.0035521198038208635,RISK_ON,1.0,1.0,-0.0035521198038208635,10712.765093359047,11010.457660186981
2025-09-23,112696.74101711863,-0.022616111508294012,RANGE_BOUND,0.4,1.0,-0.022616111508294012,10470.48400344548,10761.443921986842
